protocol,cycle,SOH,CAP_Ah,SOC,soc_group,direction,rate_rank,I_A,CRate_rated,tau_s,tau_actual_s,V_pre_V,V_tau_V,R_mOhm,file
CC,5,0.99952,2.97197,0.1573,10,discharge,2,-23.774,7.925,10.0,9.9,3.4472,3.1108,14.1499,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.1572,10,discharge,3,-34.173,11.391,10.0,9.9,3.4469,2.9378,14.8977,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.1079,11,discharge,0,-2.972,0.991,10.0,9.9,3.4029,3.3539,16.4867,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.1079,11,discharge,1,-11.89,3.963,10.0,9.9,3.4033,3.1994,17.1489,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.1077,11,discharge,2,-23.776,7.925,10.0,9.9,3.4048,2.8976,21.3324,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.1077,11,discharge,3,-34.176,11.392,10.0,9.9,3.4037,2.4994,26.4601,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.0584,12,discharge,0,-2.974,0.991,10.0,9.9,3.3498,3.2785,23.9736,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.0583,12,discharge,1,-11.89,3.963,10.0,9.9,3.3514,2.9139,36.7956,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.0582,12,discharge,2,-23.776,7.925,10.0,9.9,3.3548,2.4997,35.9648,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.0581,12,discharge,3,-20.707,6.902,10.0,9.9,3.3538,2.4998,41.2421,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
