cmd,soc,soh,tau_s,cycles,iters,stack,kf,ks,r_eff,i_star,us
REFF,0.3366,0.8829,10.0,799,0,560,0.9772225618362427,0.9898478984832764,0.019172579050064087,0.0,3.196
TRIM,0.3366,0.8829,10.0,1641,0,560,0.9772225618362427,0.9898478984832764,0.0,0.0,6.564
SOLVE,0.3366,0.8829,10.0,10994,17,560,0.9772225618362427,0.9898478984832764,0.0,-59.77314376831055,43.976
FULL,0.3366,0.8829,10.0,12621,17,560,0.9772225618362427,0.9898478984832764,0.0,-59.77314376831055,50.484
FEAT,0.3366,0.8829,10.0,3316,0,560,0.9772225618362427,0.9898478984832764,0.0,0.0,13.264
FEAT_A8,0.3366,0.8829,10.0,1507,0,560,0.9772225618362427,0.9898478984832764,0.0,0.0,6.028
EKF,0.3366,0.8829,10.0,1802,0,560,0.9772225618362427,0.9898478984832764,0.0,0.23997509479522705,7.208
EKF_P,0.3366,0.8829,10.0,1219,0,560,0.9772225618362427,0.9898478984832764,0.0,0.24090102314949036,4.876
REFF,0.8737,0.7666,10.0,799,0,560,1.0388286113739014,1.0091490745544434,0.03853239491581917,0.0,3.196
TRIM,0.8737,0.7666,10.0,1621,0,560,1.0388286113739014,1.0091490745544434,0.0,0.0,6.484
SOLVE,0.8737,0.7666,10.0,11773,17,560,1.0388286113739014,1.0091490745544434,0.0,-36.50701904296875,47.092
FULL,0.8737,0.7666,10.0,13380,17,560,1.0388286113739014,1.0091490745544434,0.0,-36.50701904296875,53.52
FEAT,0.8737,0.7666,10.0,3336,0,560,1.0388286113739014,1.0091490745544434,0.0,0.0,13.344
FEAT_A8,0.8737,0.7666,10.0,1513,0,560,1.0388286113739014,1.0091490745544434,0.0,0.0,6.052
EKF,0.8737,0.7666,10.0,1792,0,560,1.0388286113739014,1.0091490745544434,0.0,0.23697935044765472,7.168
EKF_P,0.8737,0.7666,10.0,1229,0,560,1.0388286113739014,1.0091490745544434,0.0,0.23790527880191803,4.916
REFF,0.3241,0.8393,10.0,781,0,560,0.991068422794342,0.994254469871521,0.025964902713894844,0.0,3.124
TRIM,0.3241,0.8393,10.0,1633,0,560,0.991068422794342,0.994254469871521,0.0,0.0,6.532
SOLVE,0.3241,0.8393,10.0,9878,15,560,0.991068422794342,0.994254469871521,0.0,-30.702390670776367,39.512
FULL,0.3241,0.8393,10.0,11472,15,560,0.991068422794342,0.994254469871521,0.0,-30.702390670776367,45.888
FEAT,0.3241,0.8393,10.0,3321,0,560,0.991068422794342,0.994254469871521,0.0,0.0,13.284
