cmd,soc,soh,tau_s,cycles,iters,stack,kf,ks,r_eff,i_star,us
FEAT,0.7606,0.8607,10.0,3182,0,640,1.048250436782837,1.012304663658142,0.0,0.0,12.728
EKF,0.7606,0.8607,10.0,1957,0,640,1.048250436782837,1.012304663658142,0.0,0.24044553935527802,7.828
EKF_P,0.7606,0.8607,10.0,1321,0,640,1.048250436782837,1.012304663658142,0.0,0.24137146770954132,5.284
REFF,0.622,0.9007,10.0,780,0,640,1.1636208295822144,1.0461478233337402,0.01933104731142521,0.0,3.12
TRIM,0.622,0.9007,10.0,1689,0,640,1.1636208295822144,1.0461478233337402,0.0,0.0,6.756
SOLVE,0.622,0.9007,10.0,12700,18,640,1.1636208295822144,1.0461478233337402,0.0,-75.22195434570312,50.8
FULL,0.622,0.9007,10.0,14317,18,640,1.1636208295822144,1.0461478233337402,0.0,-75.22195434570312,57.268
FEAT,0.622,0.9007,10.0,3189,0,640,1.1636208295822144,1.0461478233337402,0.0,0.0,12.756
EKF,0.622,0.9007,10.0,1991,0,640,1.1636208295822144,1.0461478233337402,0.0,0.24744027853012085,7.964
EKF_P,0.622,0.9007,10.0,1304,0,640,1.1636208295822144,1.0461478233337402,0.0,0.24836620688438416,5.216
REFF,0.7845,0.8378,2.0,710,0,640,0.988925039768219,0.9987220764160156,0.017858294770121574,0.0,2.84
TRIM,0.7845,0.8378,2.0,1621,0,640,0.988925039768219,0.9987220764160156,0.0,0.0,6.484
SOLVE,0.7845,0.8378,2.0,11189,17,640,0.988925039768219,0.9987220764160156,0.0,-62.49168014526367,44.756
FULL,0.7845,0.8378,2.0,12756,17,640,0.988925039768219,0.9987220764160156,0.0,-62.49168014526367,51.024
FEAT,0.7845,0.8378,2.0,3174,0,640,0.988925039768219,0.9987220764160156,0.0,0.0,12.696
EKF,0.7845,0.8378,2.0,1963,0,640,0.988925039768219,0.9987220764160156,0.0,0.24233902990818024,7.852
EKF_P,0.7845,0.8378,2.0,1328,0,640,0.988925039768219,0.9987220764160156,0.0,0.24326495826244354,5.312
REFF,0.8958,0.9297,2.0,704,0,640,0.9691247344017029,0.9924910664558411,0.012706737034022808,0.0,2.816
TRIM,0.8958,0.9297,2.0,1621,0,640,0.9691247344017029,0.9924910664558411,0.0,0.0,6.484
SOLVE,0.8958,0.9297,2.0,11863,18,640,0.9691247344017029,0.9924910664558411,0.0,-91.12474822998047,47.452
FULL,0.8958,0.9297,2.0,13411,18,640,0.9691247344017029,0.9924910664558411,0.0,-91.12474822998047,53.644
FEAT,0.8958,0.9297,2.0,3191,0,640,0.9691247344017029,0.9924910664558411,0.0,0.0,12.764
EKF,0.8958,0.9297,2.0,1966,0,640,0.9691247344017029,0.9924910664558411,0.0,0.24074050784111023,7.864
EKF_P,0.8958,0.9297,2.0,1310,0,640,0.9691247344017029,0.9924910664558411,0.0,0.24166643619537354,5.24
REFF,0.8143,0.77,2.0,711,0,640,1.0024389028549194,1.0003323554992676,0.02212701551616192,0.0,2.844
TRIM,0.8143,0.77,2.0,1615,0,640,1.0024389028549194,1.0003323554992676,0.0,0.0,6.46
SOLVE,0.8143,0.77,2.0,11195,17,640,1.0024389028549194,1.0003323554992676,0.0,-62.83552551269531,44.78
FULL,0.8143,0.77,2.0,12757,17,640,1.0024389028549194,1.0003323554992676,0.0,-62.83552551269531,51.028
FEAT,0.8143,0.77,2.0,3176,0,640,1.0024389028549194,1.0003323554992676,0.0,0.0,12.704
EKF,0.8143,0.77,2.0,1964,0,640,1.0024389028549194,1.0003323554992676,0.0,0.24761562049388885,7.856
EKF_P,0.8143,0.77,2.0,1307,0,640,1.0024389028549194,1.0003323554992676,0.0,0.24854154884815216,5.228
REFF,0.7524,0.9338,10.0,774,0,640,1.1023186445236206,1.0387613773345947,0.01763313263654709,0.0,3.096
TRIM,0.7524,0.9338,10.0,1675,0,640,1.1023186445236206,1.0387613773345947,0.0,0.0,6.7
SOLVE,0.7524,0.9338,10.0,12023,17,640,1.1023186445236206,1.0387613773345947,0.0,-62.432498931884766,48.092
FULL,0.7524,0.9338,10.0,13622,17,640,1.1023186445236206,1.0387613773345947,0.0,-62.432498931884766,54.488
FEAT,0.7524,0.9338,10.0,3193,0,640,1.1023186445236206,1.0387613773345947,0.0,0.0,12.772
EKF,0.7524,0.9338,10.0,1980,0,640,1.1023186445236206,1.0387613773345947,0.0,0.24556338787078857,7.92
EKF_P,0.7524,0.9338,10.0,1304,0,640,1.1023186445236206,1.0387613773345947,0.0,0.24648931622505188,5.216
REFF,0.3577,0.8333,10.0,780,0,640,1.0823243856430054,1.0244419574737549,0.025563402101397514,0.0,3.12
TRIM,0.3577,0.8333,10.0,1620,0,640,1.0823243856430054,1.0244419574737549,0.0,0.0,6.48
SOLVE,0.3577,0.8333,10.0,11369,16,640,1.0823243856430054,1.0244419574737549,0.0,-40.36884689331055,45.476
FULL,0.3577,0.8333,10.0,12924,16,640,1.0823243856430054,1.0244419574737549,0.0,-40.36884689331055,51.696
FEAT,0.3577,0.8333,10.0,3208,0,640,1.0823243856430054,1.0244419574737549,0.0,0.0,12.832
EKF,0.3577,0.8333,10.0,1984,0,640,1.0823243856430054,1.0244419574737549,0.0,0.24400316178798676,7.936
EKF_P,0.3577,0.8333,10.0,1328,0,640,1.0823243856430054,1.0244419574737549,0.0,0.24492909014225006,5.312
REFF,0.579,0.7759,2.0,704,0,640,0.9927237629890442,1.000715970993042,0.022028153762221336,0.0,2.816
TRIM,0.579,0.7759,2.0,1631,0,640,0.9927237629890442,1.000715970993042,0.0,0.0,6.524
SOLVE,0.579,0.7759,2.0,11194,17,640,0.9927237629890442,1.000715970993042,0.0,-53.426937103271484,44.776
FULL,0.579,0.7759,2.0,12767,17,640,0.9927237629890442,1.000715970993042,0.0,-53.426937103271484,51.068
FEAT,0.579,0.7759,2.0,3210,0,640,0.9927237629890442,1.000715970993042,0.0,0.0,12.84
EKF,0.579,0.7759,2.0,2004,0,640,0.9927237629890442,1.000715970993042,0.0,0.23765598237514496,8.016
EKF_P,0.579,0.7759,2.0,1327,0,640,0.9927237629890442,1.000715970993042,0.0,0.23858191072940826,5.308
REFF,0.7211,0.9459,2.0,710,0,640,1.176130771636963,1.0500494241714478,0.014082922600209713,0.0,2.84
TRIM,0.7211,0.9459,2.0,1670,0,640,1.176130771636963,1.0500494241714478,0.0,0.0,6.68
SOLVE,0.7211,0.9459,2.0,11194,17,640,1.176130771636963,1.0500494241714478,0.0,-65.9191665649414,44.776
FULL,0.7211,0.9459,2.0,12801,17,640,1.176130771636963,1.0500494241714478,0.0,-65.9191665649414,51.204
FEAT,0.7211,0.9459,2.0,3181,0,640,1.176130771636963,1.0500494241714478,0.0,0.0,12.724
EKF,0.7211,0.9459,2.0,1961,0,640,1.176130771636963,1.0500494241714478,0.0,0.2340623289346695,7.844
EKF_P,0.7211,0.9459,2.0,1311,0,640,1.176130771636963,1.0500494241714478,0.0,0.2349882572889328,5.244
REFF,0.6927,0.9389,2.0,710,0,640,1.14167320728302,1.041048288345337,0.01362840086221695,0.0,2.84
TRIM,0.6927,0.9389,2.0,1670,0,640,1.14167320728302,1.041048288345337,0.0,0.0,6.68
SOLVE,0.6927,0.9389,2.0,11843,18,640,1.14167320728302,1.041048288345337,0.0,-107.3573226928711,47.372
FULL,0.6927,0.9389,2.0,13449,18,640,1.14167320728302,1.041048288345337,0.0,-107.3573226928711,53.796
FEAT,0.6927,0.9389,2.0,3194,0,640,1.14167320728302,1.041048288345337,0.0,0.0,12.776
EKF,0.6927,0.9389,2.0,1960,0,640,1.14167320728302,1.041048288345337,0.0,0.23924529552459717,7.84
EKF_P,0.6927,0.9389,2.0,1310,0,640,1.14167320728302,1.041048288345337,0.0,0.24017122387886047,5.24
REFF,0.4969,0.9753,10.0,781,0,640,1.0353689193725586,1.0086807012557983,0.01368316262960434,0.0,3.124
TRIM,0.4969,0.9753,10.0,1633,0,640,1.0353689193725586,1.0086807012557983,0.0,0.0,6.532
SOLVE,0.4969,0.9753,10.0,12699,18,640,1.0353689193725586,1.0086807012557983,0.0,-104.97035217285156,50.796
FULL,0.4969,0.9753,10.0,14266,18,640,1.0353689193725586,1.0086807012557983,0.0,-104.97035217285156,57.064
FEAT,0.4969,0.9753,10.0,3221,0,640,1.0353689193725586,1.0086807012557983,0.0,0.0,12.884
EKF,0.4969,0.9753,10.0,1981,0,640,1.0353689193725586,1.0086807012557983,0.0,0.24404844641685486,7.924
EKF_P,0.4969,0.9753,10.0,1310,0,640,1.0353689193725586,1.0086807012557983,0.0,0.24497437477111816,5.24
REFF,0.5526,0.9233,2.0,704,0,640,1.0417331457138062,1.013317584991455,0.01222965307533741,0.0,2.816
TRIM,0.5526,0.9233,2.0,1628,0,640,1.0417331457138062,1.013317584991455,0.0,0.0,6.512
