fold,direction,cycle,SOH,temp_C,SOC,SOP_meas_W,SOP_A0_W,SOP_A8_W,k_f,k_s,limit_hit
BOOST,discharge,641,0.9264,25,0.900,107.95,108.79,108.11,1.0626,1.0167,current
BOOST,discharge,641,0.9264,10,0.900,101.80,104.30,103.37,1.0626,1.0167,current
BOOST,discharge,641,0.9264,25,0.800,105.91,105.71,105.03,1.0626,1.0167,current
BOOST,discharge,641,0.9264,10,0.800,100.00,101.12,100.20,1.0626,1.0167,current
BOOST,discharge,641,0.9264,25,0.700,103.93,103.66,103.03,1.0626,1.0167,current
BOOST,discharge,641,0.9264,10,0.700,98.16,99.46,98.58,1.0626,1.0167,current
BOOST,discharge,641,0.9264,25,0.600,101.54,100.44,99.80,1.0626,1.0167,current
BOOST,discharge,641,0.9264,10,0.600,95.41,96.24,95.41,1.0626,1.0167,current
BOOST,discharge,641,0.9264,25,0.500,98.30,97.56,96.97,1.0626,1.0167,current
BOOST,discharge,641,0.9264,10,0.500,92.28,93.41,92.58,1.0626,1.0167,current
BOOST,discharge,641,0.9264,25,0.400,95.66,95.21,94.58,1.0626,1.0167,current
BOOST,discharge,641,0.9264,10,0.400,89.38,90.58,89.75,1.0626,1.0167,current
BOOST,discharge,641,0.9264,25,0.300,93.06,90.87,90.19,1.0626,1.0167,current
BOOST,discharge,641,0.9264,10,0.300,85.11,82.81,81.74,1.0626,1.0167,current
BOOST,discharge,641,0.9264,25,0.200,87.67,,,1.0626,1.0167,out-of-hull
BOOST,discharge,641,0.9264,10,0.200,62.99,,,1.0626,1.0167,out-of-hull
BOOST,discharge,641,0.9264,25,0.150,79.45,,,1.0626,1.0167,out-of-hull
BOOST,discharge,641,0.9264,10,0.150,41.13,,,1.0626,1.0167,out-of-hull
BOOST,discharge,641,0.9264,25,0.100,51.60,,,1.0626,1.0167,out-of-hull
BOOST,discharge,641,0.9264,10,0.100,24.44,,,1.0626,1.0167,out-of-hull
BOOST,discharge,641,0.9264,25,0.050,29.07,,,1.0626,1.0167,out-of-hull
BOOST,discharge,641,0.9264,25,0.020,18.08,,,1.0626,1.0167,out-of-hull
BOOST,discharge,641,0.9264,25,0.005,12.76,,,1.0626,1.0167,out-of-hull
BOOST,discharge,762,0.9191,25,1.000,108.24,,,1.0808,1.0224,out-of-hull
BOOST,discharge,762,0.9191,10,1.000,100.85,,,1.0808,1.0224,out-of-hull
BOOST,discharge,762,0.9191,25,0.950,107.80,109.13,108.20,1.0808,1.0224,current
BOOST,discharge,762,0.9191,10,0.950,100.54,104.10,102.88,1.0808,1.0224,current
BOOST,discharge,762,0.9191,25,0.900,107.04,108.20,107.28,1.0808,1.0224,current
BOOST,discharge,762,0.9191,10,0.900,99.94,103.52,102.25,1.0808,1.0224,current
BOOST,discharge,762,0.9191,25,0.800,105.11,105.18,104.30,1.0808,1.0224,current
BOOST,discharge,762,0.9191,10,0.800,98.46,100.49,99.32,1.0808,1.0224,current
BOOST,discharge,762,0.9191,25,0.700,103.20,103.22,102.34,1.0808,1.0224,current
BOOST,discharge,762,0.9191,10,0.700,96.66,98.88,97.75,1.0808,1.0224,current
BOOST,discharge,762,0.9191,25,0.600,100.76,100.05,99.22,1.0808,1.0224,current
BOOST,discharge,762,0.9191,10,0.600,93.86,95.80,94.68,1.0808,1.0224,current
BOOST,discharge,762,0.9191,25,0.500,97.54,97.07,96.24,1.0808,1.0224,current
BOOST,discharge,762,0.9191,10,0.500,90.70,92.77,91.65,1.0808,1.0224,current
BOOST,discharge,762,0.9191,25,0.400,94.86,94.48,93.65,1.0808,1.0224,current
BOOST,discharge,762,0.9191,10,0.400,87.59,89.65,88.53,1.0808,1.0224,current
BOOST,discharge,762,0.9191,25,0.300,92.07,90.09,89.16,1.0808,1.0224,current
BOOST,discharge,762,0.9191,10,0.300,82.50,81.54,80.13,1.0808,1.0224,current
BOOST,discharge,762,0.9191,25,0.200,85.37,,,1.0808,1.0224,out-of-hull
BOOST,discharge,762,0.9191,10,0.200,53.23,,,1.0808,1.0224,out-of-hull
BOOST,discharge,762,0.9191,25,0.150,74.72,,,1.0808,1.0224,out-of-hull
BOOST,discharge,762,0.9191,10,0.150,33.75,,,1.0808,1.0224,out-of-hull
BOOST,discharge,762,0.9191,25,0.100,44.63,,,1.0808,1.0224,out-of-hull
BOOST,discharge,762,0.9191,10,0.100,19.76,,,1.0808,1.0224,out-of-hull
BOOST,discharge,762,0.9191,25,0.050,25.89,,,1.0808,1.0224,out-of-hull
BOOST,discharge,762,0.9191,10,0.050,11.04,,,1.0808,1.0224,out-of-hull
BOOST,discharge,762,0.9191,25,0.020,15.52,,,1.0808,1.0224,out-of-hull
BOOST,discharge,762,0.9191,10,0.020,6.73,,,1.0808,1.0224,out-of-hull
BOOST,discharge,762,0.9191,25,0.005,10.97,,,1.0808,1.0224,out-of-hull
BOOST,discharge,867,0.9103,25,1.000,106.98,,,1.3234,1.1040,out-of-hull
BOOST,discharge,867,0.9103,10,1.000,98.91,,,1.3234,1.1040,out-of-hull
BOOST,discharge,867,0.9103,25,0.950,106.55,108.11,104.20,1.3234,1.1040,current
BOOST,discharge,867,0.9103,10,0.950,98.68,102.78,97.41,1.3234,1.1040,current
BOOST,discharge,867,0.9103,25,0.900,105.79,107.62,103.76,1.3234,1.1040,current
BOOST,discharge,867,0.9103,10,0.900,98.20,102.73,97.56,1.3234,1.1040,current
BOOST,discharge,867,0.9103,25,0.800,103.93,104.79,101.07,1.3234,1.1040,current
BOOST,discharge,867,0.9103,10,0.800,96.70,99.95,95.02,1.3234,1.1040,current
BOOST,discharge,867,0.9103,25,0.700,102.06,102.59,99.02,1.3234,1.1040,current
BOOST,discharge,867,0.9103,10,0.700,94.99,98.14,93.41,1.3234,1.1040,current
BOOST,discharge,867,0.9103,25,0.600,99.57,99.51,96.00,1.3234,1.1040,current
BOOST,discharge,867,0.9103,10,0.600,92.37,95.07,90.43,1.3234,1.1040,current
BOOST,discharge,867,0.9103,25,0.500,96.36,96.58,93.12,1.3234,1.1040,current
BOOST,discharge,867,0.9103,10,0.500,89.31,92.19,87.55,1.3234,1.1040,current
BOOST,discharge,867,0.9103,25,0.400,93.59,93.95,90.43,1.3234,1.1040,current
BOOST,discharge,867,0.9103,10,0.400,85.83,89.01,84.18,1.3234,1.1040,current
BOOST,discharge,867,0.9103,25,0.300,90.34,88.62,84.62,1.3234,1.1040,current
BOOST,discharge,867,0.9103,10,0.300,79.14,79.61,69.92,1.3234,1.1040,voltage
BOOST,discharge,867,0.9103,25,0.200,80.55,,,1.3234,1.1040,out-of-hull
BOOST,discharge,867,0.9103,10,0.200,42.73,,,1.3234,1.1040,out-of-hull
BOOST,discharge,867,0.9103,25,0.150,59.95,,,1.3234,1.1040,out-of-hull
BOOST,discharge,867,0.9103,10,0.150,27.02,,,1.3234,1.1040,out-of-hull
BOOST,discharge,867,0.9103,25,0.100,35.30,,,1.3234,1.1040,out-of-hull
BOOST,discharge,867,0.9103,10,0.100,16.15,,,1.3234,1.1040,out-of-hull
BOOST,discharge,867,0.9103,25,0.050,21.30,,,1.3234,1.1040,out-of-hull
BOOST,discharge,867,0.9103,10,0.050,9.50,,,1.3234,1.1040,out-of-hull
BOOST,discharge,867,0.9103,25,0.020,13.23,,,1.3234,1.1040,out-of-hull
BOOST,discharge,867,0.9103,10,0.020,5.66,,,1.3234,1.1040,out-of-hull
BOOST,discharge,867,0.9103,25,0.005,9.75,,,1.3234,1.1040,out-of-hull
BOOST,discharge,986,0.8946,25,1.000,105.91,,,1.1080,1.0308,out-of-hull
BOOST,discharge,986,0.8946,10,1.000,97.55,,,1.1080,1.0308,out-of-hull
BOOST,discharge,986,0.8946,25,0.950,105.51,107.13,105.76,1.1080,1.0308,current
BOOST,discharge,986,0.8946,10,0.950,97.37,101.46,99.56,1.1080,1.0308,current
BOOST,discharge,986,0.8946,25,0.900,104.82,106.40,105.08,1.1080,1.0308,current
BOOST,discharge,986,0.8946,10,0.900,96.95,101.22,99.41,1.1080,1.0308,current
BOOST,discharge,986,0.8946,25,0.800,103.06,103.61,102.29,1.1080,1.0308,current
BOOST,discharge,986,0.8946,10,0.800,95.71,98.49,96.73,1.1080,1.0308,current
BOOST,discharge,986,0.8946,25,0.700,101.23,101.46,100.24,1.1080,1.0308,current
BOOST,discharge,986,0.8946,10,0.700,93.75,96.73,95.12,1.1080,1.0308,current
