cell,cycle,SOH,CAP_Ah,SOC,direction,rate_rank,I_A,V_pre_V,rest_before_s,n_points,R0_mOhm,R1_mOhm,tau1_s,R2_mOhm,tau2_s,fit_rmse_mV
RPC_CC,1,1.0,2.9103,0.5121,discharge,3,-29.706,3.738,300.0,12,9.2446,0.001,0.2134,5.821,8.528,0.816
RPC_CC,1,1.0,2.9103,0.4151,discharge,3,-29.697,3.6551,300.0,12,9.2131,0.001,0.2134,5.995,8.7874,0.505
RPC_CC,1,1.0,2.9103,0.3181,discharge,3,-29.67,3.5942,300.0,12,9.2638,0.001,0.2134,6.6215,9.6139,0.454
RPC_CC,1,1.0,2.9103,0.221,discharge,3,-29.684,3.5108,300.0,12,9.5098,0.001,0.2134,5.8948,8.0319,0.765
RPC_CC,1,1.0,2.9103,0.9973,discharge,3,-29.797,4.1851,1452.3,12,10.3706,0.001,0.2134,4.7029,5.1242,0.872
RPC_CC,1,1.0,2.9103,0.9488,discharge,3,-29.843,4.1044,300.0,12,9.8985,0.001,0.2134,3.3463,5.7767,1.05
RPC_CC,1,1.0,2.9103,0.9003,discharge,3,-29.806,4.0822,300.0,12,9.7232,0.001,0.2134,4.2655,8.528,0.795
RPC_CC,1,1.0,2.9103,0.8033,discharge,3,-29.727,4.0315,300.0,12,9.8536,0.001,0.2134,5.9508,8.7874,0.99
RPC_CC,1,1.0,2.9103,0.7062,discharge,3,-29.763,3.9243,300.0,12,9.7612,0.001,0.2134,4.8201,8.2762,1.147
RPC_CC,1,1.0,2.9103,0.6092,discharge,3,-29.745,3.8306,300.0,12,9.309,0.001,0.2134,5.3114,9.3301,0.946
RPC_CC,1,1.0,2.9103,0.5121,discharge,3,-29.707,3.7378,300.0,12,9.2409,0.001,0.2134,5.8242,8.528,0.827
RPC_CC,1,1.0,2.9103,0.4151,discharge,3,-29.698,3.655,300.0,12,9.2117,0.001,0.2134,5.9975,8.7874,0.526
RPC_CC,1,1.0,2.9103,0.3181,discharge,3,-29.671,3.5942,300.0,12,9.2682,0.001,0.2134,6.6251,9.6139,0.471
RPC_CC,1,1.0,2.9103,0.221,discharge,3,-29.688,3.5104,300.0,12,9.5072,0.001,0.2134,5.9015,8.0319,0.818
RPC_CC,1,1.0,2.9103,0.9973,discharge,3,-29.798,4.1851,1453.8,12,10.3786,0.001,0.2134,4.7021,5.1242,0.895
RPC_CC,1,1.0,2.9103,0.9488,discharge,3,-29.843,4.1041,300.0,12,9.8916,0.001,0.2134,3.3491,5.7767,1.032
RPC_CC,1,1.0,2.9103,0.9003,discharge,3,-29.808,4.0822,300.0,12,9.7254,0.001,0.2134,4.2734,8.528,0.785
RPC_CC,1,1.0,2.9103,0.8032,discharge,3,-29.727,4.0313,300.0,12,9.8509,0.001,0.2134,5.9531,8.7874,1.029
RPC_CC,1,1.0,2.9103,0.7062,discharge,3,-29.764,3.9244,300.0,12,9.7638,0.001,0.2134,4.8234,8.2762,1.168
RPC_CC,1,1.0,2.9103,0.6092,discharge,3,-29.745,3.8308,300.0,12,9.3071,0.001,0.2134,5.2343,9.0547,0.958
