cell,cycle,SOH,CAP_Ah,SOC,direction,rate_rank,I_A,V_pre_V,rest_before_s,n_points,R0_mOhm,R1_mOhm,tau1_s,R2_mOhm,tau2_s,fit_rmse_mV
CC,5,0.99952,2.97197,0.4051,discharge,1,-11.888,3.6486,635.4,101,8.7807,0.5334,0.5817,6.5863,10.2751,0.1354
CC,5,0.99952,2.97197,0.4052,charge,1,5.944,3.6526,160.1,101,8.7715,0.4591,0.5394,5.5539,8.8377,0.1195
CC,5,0.99952,2.97197,0.405,discharge,2,-23.776,3.6495,680.9,101,8.8091,0.5897,0.6467,5.3766,8.7456,0.2435
CC,5,0.99952,2.97197,0.4053,charge,2,17.831,3.6541,280.1,101,8.6862,0.7078,0.7131,4.9546,10.8976,0.2523
CC,5,0.99952,2.97197,0.4049,discharge,3,-34.172,3.6497,801.9,101,8.7505,0.5989,0.6472,4.9894,8.5669,0.3311
CC,5,0.99952,2.97197,0.4054,charge,3,29.717,3.6553,384.9,101,6.6997,2.2646,0.0903,4.6318,8.7086,0.9843
CC,5,0.99952,2.97197,0.3061,discharge,0,-2.974,3.5908,5616.9,101,8.9889,0.5726,0.8188,8.3389,14.1078,0.1069
CC,5,0.99952,2.97197,0.3061,charge,0,1.483,3.5913,70.5,100,9.3593,0.9543,1.4896,9.4676,21.9892,0.1201
CC,5,0.99952,2.97197,0.306,discharge,1,-11.89,3.591,635.4,101,8.9401,0.518,0.5585,6.8625,10.6758,0.1478
CC,5,0.99952,2.97197,0.3062,charge,1,5.943,3.5936,160.3,100,8.8897,0.4677,0.4569,5.9548,9.6314,0.0915
CC,5,0.99952,2.97197,0.3059,discharge,2,-23.777,3.5906,680.9,101,8.915,0.5832,0.6583,5.784,9.528,0.2867
CC,5,0.99952,2.97197,0.3063,charge,2,17.83,3.5957,280.1,101,8.7683,0.6427,0.6625,4.706,9.5656,0.2325
CC,5,0.99952,2.97197,0.3058,discharge,3,-34.175,3.5901,801.8,101,8.8288,0.5653,0.5792,5.334,8.9064,0.2776
CC,5,0.99952,2.97197,0.3064,charge,3,29.717,3.5975,385.2,100,8.6925,0.5705,0.6143,4.6634,10.5347,0.2511
CC,5,0.99952,2.97197,0.207,discharge,0,-2.971,3.5055,5617.6,101,9.0987,0.5452,0.3693,8.0828,11.3323,0.1204
CC,5,0.99952,2.97197,0.207,charge,0,1.483,3.507,70.5,101,9.1484,1.2314,1.8347,19.0063,48.0543,0.1053
CC,5,0.99952,2.97197,0.2069,discharge,1,-11.89,3.5057,635.4,101,9.114,0.6774,0.6698,7.4943,12.6232,0.1594
CC,5,0.99952,2.97197,0.2071,charge,1,5.941,3.5127,160.3,101,9.0606,0.6351,0.7873,7.2579,13.7454,0.1293
CC,5,0.99952,2.97197,0.2068,discharge,2,-23.776,3.5086,680.9,101,9.0756,0.4477,0.4767,6.2966,8.7229,0.3125
CC,5,0.99952,2.97197,0.2072,charge,2,17.83,3.517,280.3,101,8.9101,0.3897,0.4041,6.339,10.4801,0.1459
CC,5,0.99952,2.97197,0.2067,discharge,3,-34.174,3.5089,801.8,101,9.0419,0.4986,0.6548,6.3385,9.5804,0.434
CC,5,0.99952,2.97197,0.2072,charge,3,29.715,3.5192,385.2,101,7.999,1.0746,0.0743,4.8526,7.3071,0.7429
CC,5,0.99952,2.97197,0.1575,discharge,0,-2.974,3.4455,5075.0,101,9.296,0.6123,0.5555,8.7923,11.6546,0.1134
CC,5,0.99952,2.97197,0.1575,charge,0,1.486,3.4472,70.5,101,9.2787,0.5439,0.4838,8.7883,12.8464,0.0896
CC,5,0.99952,2.97197,0.1574,discharge,1,-11.89,3.446,635.5,101,9.3375,0.6807,0.7266,6.3132,9.0897,0.1588
CC,5,0.99952,2.97197,0.1575,charge,1,5.944,3.4506,160.3,101,9.1988,0.5522,0.6886,8.7318,13.6484,0.1385
CC,5,0.99952,2.97197,0.1573,discharge,2,-23.774,3.4472,680.9,101,9.2869,0.9128,0.9416,7.8647,14.3131,0.3924
CC,5,0.99952,2.97197,0.1576,charge,2,17.83,3.453,280.2,101,9.067,0.5026,0.6873,7.397,11.8087,0.1853
CC,5,0.99952,2.97197,0.1572,discharge,3,-34.173,3.4469,801.8,101,9.3726,0.9897,0.9398,199.9999,435.3736,0.6064
CC,5,0.99952,2.97197,0.1577,charge,3,29.717,3.4543,385.0,101,8.946,0.5452,0.3113,5.872,8.8076,0.4794
CC,5,0.99952,2.97197,0.1079,discharge,0,-2.972,3.4029,5075.0,101,9.8702,0.4707,0.3858,9.429,9.4044,0.1157
CC,5,0.99952,2.97197,0.108,charge,0,1.483,3.4052,70.5,101,9.686,0.8258,0.6278,6.9401,9.0507,0.1131
CC,5,0.99952,2.97197,0.1079,discharge,1,-11.89,3.4033,635.5,101,9.8923,0.9789,0.8366,26.3931,36.5878,0.1961
CC,5,0.99952,2.97197,0.108,charge,1,5.944,3.4106,160.3,101,9.6931,0.7124,0.6497,5.3541,9.6249,0.1327
CC,5,0.99952,2.97197,0.1077,discharge,2,-23.776,3.4048,680.9,101,9.7878,0.1395,0.05,200.0,176.4898,4.2622
CC,5,0.99952,2.97197,0.1081,charge,2,17.83,3.4132,280.3,100,9.5169,0.5793,0.687,6.4057,13.9959,0.2229
CC,5,0.99952,2.97197,0.1082,charge,3,29.718,3.4148,380.4,101,9.2546,0.4303,0.5528,6.5187,13.1275,0.2579
CC,5,0.99952,2.97197,0.0584,discharge,0,-2.974,3.3498,5075.1,101,11.0251,1.1188,0.5523,27.903,18.0499,0.1448
