T_C,SOC,Ah,Direction,CRate,OCV_V,R_mOhm
-20.0,0.6,1.2000000000000002,charge,0.25,3.7898362942,104.51000773333341
-20.0,0.5,1.5,charge,0.25,3.6949344647,104.51000759999947
-20.0,0.4,1.7999999999999998,charge,0.25,3.6189118623,106.98228746666653
-20.0,0.3,2.0999999999999996,charge,0.25,3.5494632766,126.53577266666656
-20.0,0.2,2.4000000000000004,charge,0.25,3.4515272855,155.07936626666682
-20.0,0.15,2.55,charge,0.25,3.4073633791,158.22590400000004
-20.0,0.8,0.5999999999999999,charge,0.5,3.9767743563,117.43328820000028
-20.0,0.7,0.9000000000000001,charge,0.5,3.8776584136,107.09466379999988
-20.0,0.6,1.2000000000000002,charge,0.5,3.7898362942,101.36346979999989
-20.0,0.5,1.5,charge,0.5,3.6949344647,98.55406099999975
-20.0,0.4,1.7999999999999998,charge,0.5,3.6189118623,101.58822253333325
-20.0,0.3,2.0999999999999996,charge,0.5,3.5494632766,109.11743813333322
-20.0,0.2,2.4000000000000004,charge,0.5,3.4515272855,127.65953626666675
-20.0,0.15,2.55,charge,0.5,3.4073633791,140.8075694666667
-20.0,0.7,0.9000000000000001,charge,0.75,3.8776584136,101.81297520000025
-20.0,0.6,1.2000000000000002,charge,0.75,3.7898362942,95.3700643555554
-20.0,0.5,1.5,charge,0.75,3.6949344647,94.32121839999988
-20.0,0.4,1.7999999999999998,charge,0.75,3.6189118623,96.94333328888878
-20.0,0.3,2.0999999999999996,charge,0.75,3.5494632766,103.61099684444439
-20.0,0.2,2.4000000000000004,charge,0.75,3.4515272855,110.35357799999998
-20.0,0.15,2.55,charge,0.75,3.4073633791,118.74434560000009
-20.0,0.7,0.9000000000000001,charge,1.0,3.8776584136,93.66568966666684
-20.0,0.6,1.2000000000000002,charge,1.0,3.7898362942,88.60875383333318
-20.0,0.5,1.5,charge,1.0,3.6949344647,86.1364740666666
-20.0,0.4,1.7999999999999998,charge,1.0,3.6189118623,85.9117213666667
-20.0,0.3,2.0999999999999996,charge,1.0,3.5494632766,95.01420589999994
-20.0,0.2,2.4000000000000004,charge,1.0,3.4515272855,106.58897019999995
-20.0,0.15,2.55,charge,1.0,3.4073633791,106.92609923333333
-10.0,1.0,0,discharge,0.5,4.1764,97.83333333333344
-10.0,0.95,0.15000000000000013,discharge,0.5,4.0793,78.73333333333325
-10.0,0.9,0.29999999999999993,discharge,0.5,4.0646,69.7333333333335
-10.0,0.8,0.5999999999999999,discharge,0.5,3.9953,62.56666666666666
-10.0,0.7,0.9000000000000001,discharge,0.5,3.9016,58.266666666666765
-10.0,0.6,1.2000000000000002,discharge,0.5,3.8011,52.63333333333323
-10.0,0.5,1.5,discharge,0.5,3.7029,51.19999999999999
-10.0,0.4,1.7999999999999998,discharge,0.5,3.6267,51.566666666666684
-10.0,0.3,2.0999999999999996,discharge,0.5,3.5653,55.166666666666735
-10.0,0.2,2.4000000000000004,discharge,0.5,3.4648,76.89999999999989
-10.0,0.15,2.55,discharge,0.5,3.4129,116.16666666666669
-10.0,1.0,0,discharge,1.0,4.1764,79.9
-10.0,0.95,0.15000000000000013,discharge,1.0,4.0793,66.08333333333334
-10.0,0.9,0.29999999999999993,discharge,1.0,4.0646,60.81666666666674
-10.0,0.8,0.5999999999999999,discharge,1.0,3.9953,55.749999999999964
-10.0,0.7,0.9000000000000001,discharge,1.0,3.9016,52.00000000000005
-10.0,0.6,1.2000000000000002,discharge,1.0,3.8011,48.666666666666636
-10.0,0.5,1.5,discharge,1.0,3.7029,48.03333333333337
-10.0,0.4,1.7999999999999998,discharge,1.0,3.6267,48.633333333333304
-10.0,0.3,2.0999999999999996,discharge,1.0,3.5653,54.43333333333334
-10.0,0.2,2.4000000000000004,discharge,1.0,3.4648,73.94999999999996
-10.0,0.15,2.55,discharge,1.0,3.4129,120.23333333333335
-10.0,1.0,0,discharge,2.0,4.1764,60.625
-10.0,0.95,0.15000000000000013,discharge,2.0,4.0793,52.38333333333333
-10.0,0.9,0.29999999999999993,discharge,2.0,4.0646,49.73333333333337
-10.0,0.8,0.5999999999999999,discharge,2.0,3.9953,46.89999999999998
-10.0,0.7,0.9000000000000001,discharge,2.0,3.9016,44.31666666666667
-10.0,0.6,1.2000000000000002,discharge,2.0,3.8011,42.666666666666664
-10.0,0.5,1.5,discharge,2.0,3.7029,42.775000000000006
-10.0,0.4,1.7999999999999998,discharge,2.0,3.6267,43.50000000000002
-10.0,0.3,2.0999999999999996,discharge,2.0,3.5653,49.050000000000004
-10.0,0.2,2.4000000000000004,discharge,2.0,3.4648,76.5333333333333
-10.0,1.0,0,discharge,4.0,4.1764,50.75555555555556
-10.0,0.95,0.15000000000000013,discharge,4.0,4.0793,44.82777777777776
-10.0,0.9,0.29999999999999993,discharge,4.0,4.0646,43.37222222222224
-10.0,0.8,0.5999999999999999,discharge,4.0,3.9953,41.516666666666644
-10.0,0.7,0.9000000000000001,discharge,4.0,3.9016,39.611111111111114
-10.0,0.6,1.2000000000000002,discharge,4.0,3.8011,38.77222222222221
-10.0,0.5,1.5,discharge,4.0,3.7029,38.96666666666667
-10.0,0.4,1.7999999999999998,discharge,4.0,3.6267,40.04999999999999
-10.0,0.3,2.0999999999999996,discharge,4.0,3.5653,43.12777777777777
-10.0,0.95,0.15000000000000013,charge,0.25,4.0793,99.33333333333394
-10.0,0.9,0.29999999999999993,charge,0.25,4.0646,79.99999999999947
-10.0,0.8,0.5999999999999999,charge,0.25,3.9953,68.80000000000013
-10.0,0.7,0.9000000000000001,charge,0.25,3.9016,64.53333333333333
-10.0,0.6,1.2000000000000002,charge,0.25,3.8011,57.60000000000017
-10.0,0.5,1.5,charge,0.25,3.7029,55.46666666666648
-10.0,0.4,1.7999999999999998,charge,0.25,3.6267,54.53333333333355
-10.0,0.3,2.0999999999999996,charge,0.25,3.5653,57.0666666666663
-10.0,0.2,2.4000000000000004,charge,0.25,3.4648,71.46666666666708
-10.0,0.15,2.55,charge,0.25,3.4129,83.19999999999972
-10.0,0.9,0.29999999999999993,charge,0.5,4.0646,76.39999999999958
-10.0,0.8,0.5999999999999999,charge,0.5,3.9953,65.86666666666682
-10.0,0.7,0.9000000000000001,charge,0.5,3.9016,61.60000000000002
-10.0,0.6,1.2000000000000002,charge,0.5,3.8011,56.79999999999996
-10.0,0.5,1.5,charge,0.5,3.7029,54.13333333333329
-10.0,0.4,1.7999999999999998,charge,0.5,3.6267,53.93333333333317
-10.0,0.3,2.0999999999999996,charge,0.5,3.5653,57.0666666666666
-10.0,0.2,2.4000000000000004,charge,0.5,3.4648,68.6
-10.0,0.15,2.55,charge,0.5,3.4129,74.66666666666673
-10.0,0.8,0.5999999999999999,charge,0.75,3.9953,62.622222222222135
-10.0,0.7,0.9000000000000001,charge,0.75,3.9016,57.91111111111114
-10.0,0.6,1.2000000000000002,charge,0.75,3.8011,54.71111111111111
-10.0,0.5,1.5,charge,0.75,3.7029,52.888888888888786
-10.0,0.4,1.7999999999999998,charge,0.75,3.6267,53.466666666666605
-10.0,0.3,2.0999999999999996,charge,0.75,3.5653,56.79999999999987
-10.0,0.2,2.4000000000000004,charge,0.75,3.4648,63.3777777777779
-10.0,0.15,2.55,charge,0.75,3.4129,68.26666666666665
-10.0,0.8,0.5999999999999999,charge,1.0,3.9953,59.39999999999997
-10.0,0.7,0.9000000000000001,charge,1.0,3.9016,54.266666666666616
-10.0,0.6,1.2000000000000002,charge,1.0,3.8011,52.59999999999999
-10.0,0.5,1.5,charge,1.0,3.7029,50.73333333333337
-10.0,0.4,1.7999999999999998,charge,1.0,3.6267,50.666666666666714
-10.0,0.3,2.0999999999999996,charge,1.0,3.5653,52.200000000000024
-10.0,0.2,2.4000000000000004,charge,1.0,3.4648,59.800000000000075
-10.0,0.15,2.55,charge,1.0,3.4129,65.19999999999992
0.0,1.0,0,discharge,1.0,4.1851201136,65.33652120000004
0.0,0.95,0.15000000000000013,discharge,1.0,4.084149961,51.34498709999994
0.0,0.9,0.29999999999999993,discharge,1.0,4.0669563791,44.20913716666656
0.0,0.8,0.5999999999999999,discharge,1.0,4.0061045843,39.769724800000034
0.0,0.7,0.9000000000000001,discharge,1.0,3.9106970612,37.12787480000005
0.0,0.6,1.2000000000000002,discharge,1.0,3.8110754248,33.699368966666626
0.0,0.5,1.5,discharge,1.0,3.708419627,30.945063166666714
0.0,0.4,1.7999999999999998,discharge,1.0,3.631554202,30.944179533333244
0.0,0.3,2.0999999999999996,discharge,1.0,3.5723880525,33.02239016666671
0.0,0.2,2.4000000000000004,discharge,1.0,3.4737778033,39.5950464333333
0.0,0.15,2.55,discharge,1.0,3.4174772508,49.4269909000001
0.0,0.1,2.7,discharge,1.0,3.3733133443,100.89307750000002
0.0,1.0,0,discharge,2.0,4.1851201136,56.99690179999998
0.0,0.95,0.15000000000000013,discharge,2.0,4.084149961,45.5624219166666
0.0,0.9,0.29999999999999993,discharge,2.0,4.0669563791,41.01123778333331
0.0,0.8,0.5999999999999999,discharge,2.0,4.0061045843,37.49924811666664
0.0,0.7,0.9000000000000001,discharge,2.0,3.9106970612,35.02650523333332
0.0,0.6,1.2000000000000002,discharge,2.0,3.8110754248,31.991875716666616
0.0,0.5,1.5,discharge,2.0,3.708419627,31.064212733333374
0.0,0.4,1.7999999999999998,discharge,2.0,3.631554202,30.726653483333326
0.0,0.3,2.0999999999999996,discharge,2.0,3.5723880525,32.63664550000001
0.0,0.2,2.4000000000000004,discharge,2.0,3.4737778033,40.530245166666624
0.0,0.15,2.55,discharge,2.0,3.4174772508,54.43601553333337
0.0,0.1,2.7,discharge,2.0,3.3733133443,120.73552293333334
0.0,1.0,0,discharge,4.0,4.1851201136,46.00046414999999
0.0,0.95,0.15000000000000013,discharge,4.0,4.084149961,38.34479898333331
0.0,0.9,0.29999999999999993,discharge,4.0,4.0669563791,35.605670449999955
0.0,0.8,0.5999999999999999,discharge,4.0,4.0061045843,33.62493065833335
0.0,0.7,0.9000000000000001,discharge,4.0,3.9106970612,31.503625958333334
0.0,0.6,1.2000000000000002,discharge,4.0,3.8110754248,29.578960983333307
0.0,0.5,1.5,discharge,4.0,3.708419627,28.960617333333328
0.0,0.4,1.7999999999999998,discharge,4.0,3.631554202,29.494165683333332
0.0,0.3,2.0999999999999996,discharge,4.0,3.5723880525,31.165536224999993
0.0,0.2,2.4000000000000004,discharge,4.0,3.4737778033,40.407889024999996
0.0,0.15,2.55,discharge,4.0,3.4174772508,67.12428355000003
0.0,1.0,0,discharge,6.0,4.1851201136,34.71506277083334
0.0,0.95,0.15000000000000013,discharge,6.0,4.084149961,30.65546195416665
0.0,0.9,0.29999999999999993,discharge,6.0,4.0669563791,29.714317754166643
0.0,0.8,0.5999999999999999,discharge,6.0,4.0061045843,28.75906425833334
0.0,0.7,0.9000000000000001,discharge,6.0,3.9106970612,27.199759041666663
0.0,0.6,1.2000000000000002,discharge,6.0,3.8110754248,26.42003182916665
0.0,0.5,1.5,discharge,6.0,3.708419627,26.57439646666667
0.0,0.4,1.7999999999999998,discharge,6.0,3.631554202,26.77796112499999
0.0,0.3,2.0999999999999996,discharge,6.0,3.5723880525,28.856766925
0.0,0.95,0.15000000000000013,charge,0.25,4.084149961,59.784219466667565
0.0,0.9,0.29999999999999993,charge,0.25,4.0669563791,48.996089600000424
0.0,0.8,0.5999999999999999,charge,0.25,4.0061045843,43.15251933333286
0.0,0.7,0.9000000000000001,charge,0.25,3.9106970612,39.10697053333342
0.0,0.6,1.2000000000000002,charge,0.25,3.8110754248,35.7356801333335
0.0,0.5,1.5,charge,0.25,3.708419627,33.263400266666444
0.0,0.4,1.7999999999999998,charge,0.25,3.631554202,33.26340026666704
0.0,0.3,2.0999999999999996,charge,0.25,3.5723880525,34.61191653333332
0.0,0.2,2.4000000000000004,charge,0.25,3.4737778033,40.005981466666896
0.0,0.15,2.55,charge,0.25,3.4174772508,45.40004626666653
0.0,0.1,2.7,charge,0.25,3.3733133443,62.706004666666836
0.0,0.95,0.15000000000000013,charge,0.5,4.084149961,58.43570320000009
0.0,0.9,0.29999999999999993,charge,0.5,4.0669563791,47.53519700000019
0.0,0.8,0.5999999999999999,charge,0.5,4.0061045843,41.69162673333323
0.0,0.7,0.9000000000000001,charge,0.5,3.9106970612,37.421325333333165
0.0,0.6,1.2000000000000002,charge,0.5,3.8110754248,35.73568006666683
0.0,0.5,1.5,charge,0.5,3.708419627,34.2747874666666
0.0,0.4,1.7999999999999998,charge,0.5,3.631554202,33.26340026666674
0.0,0.3,2.0999999999999996,charge,0.5,3.5723880525,34.61191653333332
0.0,0.2,2.4000000000000004,charge,0.5,3.4737778033,39.33172333333346
0.0,0.15,2.55,charge,0.5,3.4174772508,43.377271999999856
0.0,0.1,2.7,charge,0.5,3.3733133443,56.18817620000005
0.0,0.9,0.29999999999999993,charge,0.75,4.0669563791,45.84955173333367
0.0,0.8,0.5999999999999999,charge,0.75,4.0061045843,40.38056928888878
0.0,0.7,0.9000000000000001,charge,0.75,3.9106970612,36.035350311111124
0.0,0.6,1.2000000000000002,charge,0.75,3.8110754248,35.510927333333456
0.0,0.5,1.5,charge,0.75,3.708419627,33.0386475555555
0.0,0.4,1.7999999999999998,charge,0.75,3.631554202,33.11356515555571
0.0,0.3,2.0999999999999996,charge,0.75,3.5723880525,34.2373286666666
0.0,0.2,2.4000000000000004,charge,0.75,3.4737778033,37.45878413333337
0.0,0.15,2.55,charge,0.75,3.4174772508,40.75515711111106
0.0,0.1,2.7,charge,0.75,3.3733133443,50.194770711111126
0.0,0.9,0.29999999999999993,charge,1.0,4.0669563791,43.88296560000023
0.0,0.8,0.5999999999999999,charge,1.0,4.0061045843,38.769841566666706
0.0,0.7,0.9000000000000001,charge,1.0,3.9106970612,34.443351966666775
0.0,0.6,1.2000000000000002,charge,1.0,3.8110754248,34.61191653333332
0.0,0.5,1.5,charge,1.0,3.708419627,32.42057763333328
0.0,0.4,1.7999999999999998,charge,1.0,3.631554202,32.7577067
0.0,0.3,2.0999999999999996,charge,1.0,3.5723880525,33.7129057
0.0,0.2,2.4000000000000004,charge,1.0,3.4737778033,35.67949186666667
0.0,0.15,2.55,charge,1.0,3.4174772508,38.88221789999991
0.0,0.1,2.7,charge,1.0,3.3733133443,47.198068
10.0,1.0,0,discharge,1.0,4.18832,33.14000000000009
10.0,0.95,0.15000000000000013,discharge,1.0,4.09106,25.216666666666516
10.0,0.9,0.29999999999999993,discharge,1.0,4.07201,23.529999999999756
10.0,0.8,0.5999999999999999,discharge,1.0,4.01605,24.37333333333328
10.0,0.7,0.9000000000000001,discharge,1.0,3.91356,23.866666666666703
10.0,0.6,1.2000000000000002,discharge,1.0,3.82254,23.306666666666732
10.0,0.5,1.5,discharge,1.0,3.71129,20.27000000000001
10.0,0.4,1.7999999999999998,discharge,1.0,3.63425,20.10000000000008
10.0,0.3,2.0999999999999996,discharge,1.0,3.57576,20.943333333333314
10.0,0.2,2.4000000000000004,discharge,1.0,3.48035,23.526666666666696
10.0,0.15,2.55,discharge,1.0,3.42001,26.50333333333332
10.0,0.1,2.7,discharge,1.0,3.37871,44.36999999999995
10.0,1.0,0,discharge,2.0,4.18832,31.99333333333332
10.0,0.95,0.15000000000000013,discharge,2.0,4.09106,24.37999999999992
10.0,0.9,0.29999999999999993,discharge,2.0,4.07201,22.88999999999993
10.0,0.8,0.5999999999999999,discharge,2.0,4.01605,23.621666666666652
10.0,0.7,0.9000000000000001,discharge,2.0,3.91356,22.946666666666673
10.0,0.6,1.2000000000000002,discharge,2.0,3.82254,21.849999999999998
10.0,0.5,1.5,discharge,2.0,3.71129,20.05333333333333
10.0,0.4,1.7999999999999998,discharge,2.0,3.63425,19.91000000000002
10.0,0.3,2.0999999999999996,discharge,2.0,3.57576,20.864999999999984
10.0,0.2,2.4000000000000004,discharge,2.0,3.48035,23.476666666666663
10.0,0.15,2.55,discharge,2.0,3.42001,27.580000000000013
