sheet,cycle,temp_C,SOC,cap_Ah,SOP_disch,SOP_disch_CCCV,SOP_char,SOP_char_CCCV
Test#1,1656,25,0.8,,-92.977,-92.976,24.917,24.917
Test#1,1656,10,0.8,,-83.301,-83.304,17.142,17.142
Test#1,1656,25,0.7,,-90.144,-90.141,41.584,41.584
Test#1,1656,10,0.7,,-80.463,-80.466,29.369,29.369
Test#1,1656,25,0.6,,-87.118,-87.114,60.701,60.701
Test#1,1656,10,0.6,,-77.111,-77.109,41.021,41.021
Test#1,1656,25,0.5,,-84.167,-84.168,61.246,61.246
Test#1,1656,10,0.5,,-64.322,-64.326,48.958,48.958
Test#1,1656,25,0.4,,-80.484,-80.49,60.49,60.49
Test#1,1656,10,0.4,,-48.101,-48.101,55.184,55.184
Test#1,1656,25,0.3,,-69.546,-69.546,59.815,59.815
Test#1,1656,10,0.3,,-33.489,-32.491,62.257,62.257
Test#1,1656,25,0.2,,-45.076,-45.075,58.838,58.838
Test#1,1656,10,0.2,,-21.137,-19.555,61.292,61.292
