cell,cycle,SOH,SOC,OCV_V,V_dis_V,V_chg_V,hyst_mV
CC,145,0.98112,0.19,3.48447,3.46946,3.49949,30.03
CC,145,0.98112,0.2,3.49677,3.48166,3.51189,30.23
CC,145,0.98112,0.21,3.50778,3.49216,3.52339,31.22
CC,145,0.98112,0.22,3.51805,3.50177,3.53434,32.57
CC,145,0.98112,0.23,3.52858,3.51146,3.54569,34.23
CC,145,0.98112,0.24,3.53908,3.52078,3.55739,36.62
CC,145,0.98112,0.25,3.54918,3.53076,3.5676,36.84
CC,145,0.98112,0.26,3.55801,3.54018,3.57584,35.67
CC,145,0.98112,0.27,3.56646,3.54928,3.58364,34.37
CC,145,0.98112,0.28,3.57429,3.55768,3.5909,33.22
CC,145,0.98112,0.29,3.58193,3.56597,3.5979,31.93
CC,145,0.98112,0.3,3.58911,3.57358,3.60465,31.07
CC,145,0.98112,0.31,3.59591,3.58108,3.61075,29.67
CC,145,0.98112,0.32,3.60273,3.58847,3.617,28.53
CC,145,0.98112,0.33,3.60916,3.59528,3.62305,27.77
CC,145,0.98112,0.34,3.61543,3.60187,3.629,27.13
CC,145,0.98112,0.35,3.62181,3.60848,3.63514,26.66
CC,145,0.98112,0.36,3.62778,3.61458,3.64099,26.41
CC,145,0.98112,0.37,3.63402,3.62088,3.64716,26.28
CC,145,0.98112,0.38,3.64007,3.62689,3.65326,26.37
CC,145,0.98112,0.39,3.64654,3.63328,3.65981,26.54
CC,145,0.98112,0.4,3.65304,3.63978,3.66631,26.53
CC,145,0.98112,0.41,3.65957,3.64618,3.67296,26.78
CC,145,0.98112,0.42,3.66669,3.65317,3.68022,27.04
CC,145,0.98112,0.43,3.67392,3.66018,3.68766,27.48
CC,145,0.98112,0.44,3.68172,3.66787,3.69557,27.7
CC,145,0.98112,0.45,3.68987,3.67568,3.70406,28.38
CC,145,0.98112,0.46,3.69836,3.684,3.71271,28.71
CC,145,0.98112,0.47,3.70741,3.693,3.72182,28.82
CC,145,0.98112,0.48,3.71676,3.702,3.73152,29.52
CC,145,0.98112,0.49,3.72628,3.7114,3.74117,29.77
CC,145,0.98112,0.5,3.73618,3.7212,3.75117,29.97
CC,145,0.98112,0.51,3.74616,3.7309,3.76142,30.52
CC,145,0.98112,0.52,3.75606,3.7408,3.77132,30.52
CC,145,0.98112,0.53,3.76578,3.7502,3.78137,31.17
CC,145,0.98112,0.54,3.77556,3.7598,3.79132,31.52
CC,145,0.98112,0.55,3.78521,3.7694,3.80102,31.62
CC,145,0.98112,0.56,3.79506,3.7789,3.81122,32.32
CC,145,0.98112,0.57,3.80528,3.7891,3.82147,32.37
CC,145,0.98112,0.58,3.81636,3.7999,3.83282,32.92
CC,145,0.98112,0.59,3.82871,3.8124,3.84502,32.62
CC,145,0.98112,0.6,3.84291,3.8271,3.85872,31.62
CC,145,0.98112,0.61,3.85648,3.8413,3.87167,30.37
CC,145,0.98112,0.62,3.86798,3.8543,3.88166,27.36
CC,145,0.98112,0.63,3.87716,3.8645,3.88982,25.32
CC,145,0.98112,0.64,3.8852,3.8734,3.89701,23.61
CC,145,0.98112,0.65,3.89251,3.8815,3.90351,22.01
CC,145,0.98112,0.66,3.8992,3.8885,3.90991,21.41
CC,145,0.98112,0.67,3.90578,3.8956,3.91596,20.36
CC,145,0.98112,0.68,3.91236,3.9023,3.92241,20.11
CC,145,0.98112,0.69,3.91896,3.9089,3.92901,20.1
CC,145,0.98112,0.7,3.92621,3.9163,3.93611,19.81
CC,145,0.98112,0.71,3.93401,3.92381,3.94422,20.41
CC,145,0.98112,0.72,3.94276,3.93241,3.95311,20.7
CC,145,0.98112,0.73,3.95239,3.94201,3.96277,20.76
CC,145,0.98112,0.74,3.96284,3.95201,3.97367,21.66
CC,145,0.98112,0.75,3.97424,3.96342,3.98507,21.65
CC,145,0.98112,0.76,3.98637,3.97532,3.99742,22.11
CC,145,0.98112,0.77,3.99897,3.98792,4.01002,22.1
CC,145,0.98112,0.78,4.01162,4.00062,4.02262,22.0
CC,145,0.98112,0.79,4.0239,4.01292,4.03487,21.95
CC,145,0.98112,0.8,4.03574,4.02482,4.04667,21.85
CC,145,0.98112,0.81,4.04654,4.03572,4.05736,21.65
CC,145,0.98112,0.82,4.05624,4.04562,4.06686,21.25
CC,145,0.98112,0.83,4.06463,4.05442,4.07485,20.43
CC,145,0.98112,0.84,4.07103,4.06171,4.08036,18.64
CC,145,0.98112,0.85,4.07501,4.06641,4.08361,17.21
CC,145,0.98112,0.86,4.07796,4.0696,4.08632,16.72
CC,145,0.98112,0.87,4.08018,4.0718,4.08856,16.75
CC,145,0.98112,0.88,4.08251,4.0742,4.09081,16.61
CC,145,0.98112,0.89,4.08484,4.0763,4.09338,17.08
CC,145,0.98112,0.9,4.08755,4.0789,4.0962,17.3
CC,145,0.98112,0.91,4.09044,4.0815,4.09937,17.86
CC,145,0.98112,0.92,4.09414,4.08491,4.10337,18.46
CC,145,0.98112,0.93,4.09844,4.089,4.10787,18.87
CC,145,0.98112,0.94,4.10372,4.0938,4.11364,19.83
CC,145,0.98112,0.95,4.11075,4.10041,4.1211,20.7
CC,145,0.98112,0.96,4.11988,4.10901,4.13075,21.74
CC,145,0.98112,0.97,4.13169,4.1203,4.14307,22.77
CC,145,0.98112,0.98,4.14766,4.1358,4.15951,23.7
CC,145,0.98112,0.99,4.16853,4.1565,4.18056,24.06
CC,295,0.96085,0.03,2.75876,2.61082,2.9067,295.88
CC,295,0.96085,0.04,3.02986,2.96622,3.0935,127.28
CC,295,0.96085,0.05,3.14996,3.10012,3.1998,99.68
CC,295,0.96085,0.06,3.23336,3.19142,3.2753,83.88
CC,295,0.96085,0.07,3.29593,3.25844,3.33342,74.98
CC,295,0.96085,0.08,3.3396,3.3051,3.37411,69.01
CC,295,0.96085,0.09,3.36458,3.33715,3.392,54.85
CC,295,0.96085,0.1,3.38077,3.35874,3.4028,44.06
CC,295,0.96085,0.11,3.39273,3.37356,3.41191,38.35
CC,295,0.96085,0.12,3.40262,3.38504,3.4202,35.16
CC,295,0.96085,0.13,3.41119,3.39467,3.4277,33.03
CC,295,0.96085,0.14,3.41919,3.40298,3.43541,32.42
CC,295,0.96085,0.15,3.42734,3.41117,3.44351,32.33
CC,295,0.96085,0.16,3.43555,3.41888,3.45221,33.33
CC,295,0.96085,0.17,3.44512,3.42792,3.46231,34.39
CC,295,0.96085,0.18,3.45678,3.43984,3.47371,33.87
CC,295,0.96085,0.19,3.46917,3.45273,3.48562,32.89
CC,295,0.96085,0.2,3.48167,3.46522,3.49811,32.89
CC,295,0.96085,0.21,3.49346,3.47691,3.51002,33.11
CC,295,0.96085,0.22,3.50515,3.48818,3.52211,33.93
CC,295,0.96085,0.23,3.51601,3.49831,3.53372,35.41
CC,295,0.96085,0.24,3.52671,3.5083,3.54512,36.82
CC,295,0.96085,0.25,3.53691,3.5177,3.55612,38.42
CC,295,0.96085,0.26,3.54686,3.52721,3.56652,39.31
CC,295,0.96085,0.27,3.55656,3.5369,3.57622,39.32
