cell,cycle,SOC,direction,I_A,tau_s,tau_actual_s,T_C,rest_before_s,V_pre_V,V_tau_V,R_mOhm,CAP_Ah,SOH
RPC_CC,1,0.415,discharge,-30.0,10.0,9.0,25.75,300.0,3.6555,3.2659,12.9867,2.9103,1.0
RPC_CC,1,0.318,discharge,-30.001,2.0,2.0,25.82,300.0,3.5947,3.2738,10.6963,2.9103,1.0
RPC_CC,1,0.318,discharge,-30.001,10.0,9.01,25.82,300.0,3.5947,3.1983,13.2129,2.9103,1.0
RPC_CC,1,0.221,discharge,-30.001,2.0,2.0,25.96,300.0,3.5118,3.1818,10.9996,2.9103,1.0
RPC_CC,1,0.221,discharge,-30.001,10.0,9.0,25.96,300.0,3.5118,3.1096,13.4062,2.9103,1.0
RPC_CC,1,0.1724,discharge,-30.001,2.0,1.0,26.07,300.0,3.4478,3.1332,10.4863,2.9103,1.0
RPC_CC,1,0.1724,discharge,-30.001,10.0,9.0,26.07,300.0,3.4478,3.0355,13.7429,2.9103,1.0
RPC_CC,1,0.1239,discharge,-30.001,2.0,2.0,26.13,300.0,3.412,3.0324,12.6529,2.9103,1.0
RPC_CC,1,0.1239,discharge,-30.001,10.0,9.0,26.13,300.0,3.412,2.8151,19.896,2.9103,1.0
RPC_CC,1,0.0754,discharge,-23.133,2.0,2.0,26.32,300.0,3.3585,2.7915,24.511,2.9103,1.0
RPC_CC,1,0.0754,discharge,-23.133,10.0,9.0,26.32,300.0,3.3585,2.5497,34.9638,2.9103,1.0
RPC_CC,1,0.0463,discharge,-10.734,2.0,2.0,26.57,300.0,3.1934,2.5489,60.0429,2.9103,1.0
RPC_CC,1,0.0463,discharge,-10.734,10.0,9.0,26.57,300.0,3.1934,2.5499,59.9497,2.9103,1.0
RPC_CC,1,0.0319,discharge,-6.272,2.0,2.0,26.31,300.0,3.0456,2.5494,79.1085,2.9103,1.0
RPC_CC,1,0.0319,discharge,-6.272,10.0,9.0,26.31,300.0,3.0456,2.5499,79.0288,2.9103,1.0
RPC_CC,1,0.9973,discharge,-29.788,2.0,2.0,25.53,1450.6,4.1853,3.8307,11.9039,2.9103,1.0
RPC_CC,1,0.9973,discharge,-29.788,10.0,9.0,25.53,1450.6,4.1853,3.7603,14.2673,2.9103,1.0
RPC_CC,1,0.9488,discharge,-29.838,2.0,2.0,25.87,300.0,4.1044,3.7788,10.9123,2.9103,1.0
RPC_CC,1,0.9488,discharge,-29.838,10.0,9.0,25.87,300.0,4.1044,3.7299,12.5511,2.9103,1.0
RPC_CC,1,0.9003,discharge,-29.803,2.0,2.0,25.98,300.0,4.0822,3.7652,10.6365,2.9103,1.0
RPC_CC,1,0.9003,discharge,-29.803,10.0,9.0,25.98,300.0,4.0822,3.7094,12.5088,2.9103,1.0
RPC_CC,1,0.8033,discharge,-29.721,2.0,2.0,25.89,300.0,4.0317,3.7016,11.1066,2.9103,1.0
RPC_CC,1,0.8033,discharge,-29.721,10.0,9.0,25.89,300.0,4.0317,3.6252,13.6772,2.9103,1.0
