cell,cycle,SOH,CAP_Ah,SOC,soc_group,tau_s,direction,V_pre_V,V_min_V,n_rates,I_max_meas_A,I_star_lin4_A,I_star_lin2hi_A,spread_A,extrap,fit_r2
BOOST,112,0.97994,2.93552,0.5101,6,2.0,charge,3.7324,4.2,4,-29.353,47.118,47.83,0.712,1.605,0.99978
BOOST,112,0.97994,2.93552,0.5101,6,10.0,charge,3.7324,4.2,4,-29.353,37.309,37.582,0.273,1.271,0.99985
BOOST,112,0.97994,2.93552,0.4122,7,2.0,charge,3.6517,4.2,4,-29.353,56.005,56.772,0.767,1.908,0.99984
BOOST,112,0.97994,2.93552,0.4122,7,10.0,charge,3.6517,4.2,4,-29.353,45.802,46.175,0.373,1.56,0.99979
BOOST,112,0.97994,2.93552,0.3144,8,2.0,charge,3.592,4.2,4,-29.354,60.831,62.173,1.341,2.072,0.99971
BOOST,112,0.97994,2.93552,0.3144,8,10.0,charge,3.592,4.2,4,-29.354,50.097,51.03,0.932,1.707,0.99958
BOOST,112,0.97994,2.93552,0.2165,9,2.0,charge,3.5054,4.2,4,-29.353,65.684,67.205,1.521,2.238,0.99951
BOOST,112,0.97994,2.93552,0.2165,9,10.0,charge,3.5054,4.2,4,-29.353,52.725,54.765,2.04,1.796,0.99896
BOOST,112,0.97994,2.93552,0.1676,10,2.0,charge,3.4478,4.2,4,-29.353,70.39,72.033,1.643,2.398,0.9996
BOOST,112,0.97994,2.93552,0.1676,10,10.0,charge,3.4478,4.2,4,-29.353,55.393,57.067,1.674,1.887,0.99934
BOOST,112,0.97994,2.93552,0.1187,11,2.0,charge,3.4062,4.2,4,-29.353,74.697,78.18,3.483,2.545,0.99869
BOOST,112,0.97994,2.93552,0.1187,11,10.0,charge,3.4062,4.2,4,-29.353,59.898,61.103,1.204,2.041,0.99956
BOOST,112,0.97994,2.93552,0.0698,12,2.0,charge,3.3521,4.2,4,-29.352,73.508,79.314,5.806,2.504,0.99593
BOOST,112,0.97994,2.93552,0.0698,12,10.0,charge,3.3521,4.2,4,-29.352,61.903,65.608,3.705,2.109,0.99541
BOOST,150,0.97312,2.91508,0.9511,1,2.0,charge,4.1039,4.2,4,-7.492,7.616,,,1.017,0.99062
BOOST,150,0.97312,2.91508,0.9511,1,10.0,charge,4.1039,4.2,4,-7.492,7.237,7.423,0.186,0.966,0.97957
BOOST,150,0.97312,2.91508,0.9026,2,2.0,charge,4.0839,4.2,4,-9.893,9.919,9.995,0.076,1.003,0.99779
BOOST,150,0.97312,2.91508,0.9026,2,10.0,charge,4.0839,4.2,4,-9.893,9.738,9.842,0.104,0.984,0.99397
BOOST,150,0.97312,2.91508,0.8054,3,2.0,charge,4.0304,4.2,4,-14.611,14.533,,,0.995,0.99963
BOOST,150,0.97312,2.91508,0.8054,3,10.0,charge,4.0304,4.2,4,-14.611,14.414,,,0.987,0.99448
BOOST,150,0.97312,2.91508,0.7083,4,2.0,charge,3.9251,4.2,4,-24.957,25.435,24.88,0.555,1.019,0.9967
