protocol,cycle,SOH,CAP_Ah,SOC,soc_group,direction,rate_rank,I_A,CRate_rated,tau_s,tau_actual_s,V_pre_V,V_tau_V,R_mOhm,file
CC,5,0.99952,2.97197,0.8014,3,discharge,1,-11.889,3.963,2.0,1.9,4.0276,3.8904,11.5401,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.8014,3,discharge,1,-11.889,3.963,10.0,9.9,4.0276,3.8456,15.3083,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.8015,3,charge,1,5.944,1.981,2.0,2.0,4.0319,4.0961,10.7999,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.8015,3,charge,1,5.944,1.981,10.0,9.9,4.0319,4.1121,13.4915,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.8013,3,discharge,2,-23.776,7.925,2.0,1.9,4.028,3.7626,11.1625,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.8013,3,discharge,2,-23.776,7.925,10.0,9.9,4.028,3.692,14.1319,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.8015,3,charge,2,14.761,4.92,2.0,2.0,4.0332,4.2007,11.3475,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.8015,3,charge,2,14.761,4.92,10.0,9.9,4.0332,4.2003,11.3204,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.8012,3,discharge,3,-34.174,11.391,2.0,1.9,4.0282,3.6577,10.8416,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.8012,3,discharge,3,-34.174,11.391,10.0,9.9,4.0282,3.5644,13.5717,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.8016,3,charge,3,14.831,4.944,2.0,1.9,4.0337,4.2006,11.2535,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.8016,3,charge,3,14.831,4.944,10.0,9.9,4.0337,4.2001,11.2197,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.7024,4,discharge,0,-2.971,0.99,2.0,2.0,3.9222,3.8875,11.6792,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.7024,4,discharge,0,-2.971,0.99,10.0,9.9,3.9222,3.8726,16.6942,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.7024,4,charge,0,1.486,0.495,2.0,2.0,3.9247,3.941,10.9698,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
