temp_set_C,T_cell_C,tau_s,SOC,direction,I_A,rest_before_s,V_pre_V,V_tau_V,R_mOhm
10,10.84,10.0,0.3096,charge,4.998,20.2,3.5105,3.6097,19.8479
10,11.1,10.0,0.3092,discharge,-14.247,20.2,3.5098,3.2016,21.6326
10,11.02,10.0,0.3105,charge,4.985,20.2,3.5253,3.6221,19.4186
10,10.53,10.0,0.2602,charge,4.998,20.2,3.4543,3.5602,21.1885
10,10.62,10.0,0.2597,discharge,-9.449,20.2,3.4533,3.2164,25.0725
10,11.22,10.0,0.2606,charge,4.988,20.2,3.4653,3.571,21.19
10,10.56,10.0,0.2099,charge,5.0,20.2,3.3996,3.5155,23.1814
10,10.53,10.0,0.2095,discharge,-4.775,20.2,3.3969,3.2317,34.5969
10,10.56,10.0,0.2099,charge,4.989,20.2,3.4074,3.5214,22.8526
10,10.61,10.0,0.2094,discharge,-6.053,20.2,3.4017,3.1851,35.7863
10,11.11,10.0,0.1591,charge,5.0,20.2,3.3221,3.4742,30.4188
10,10.72,10.0,0.1587,discharge,-2.141,20.2,3.3332,3.2099,57.5913
10,10.61,10.0,0.1588,charge,4.994,20.2,3.3484,3.4881,27.9724
10,10.76,10.0,0.1135,charge,5.0,20.3,3.131,3.372,48.2039
10,10.73,10.0,0.1105,charge,4.729,20.2,3.0751,3.3441,56.8795
10,10.6,10.0,0.1018,discharge,-1.363,27.0,2.9278,2.6009,239.8298
25,25.3,10.0,1.0,discharge,-30.0,128.6,4.1402,3.6843,15.1967
25,25.34,10.0,1.002,charge,2.78,20.2,4.1491,4.2,18.3126
25,25.81,10.0,1.0019,discharge,-29.843,20.2,4.1412,3.6989,14.8209
25,25.44,10.0,1.0046,charge,1.837,20.2,4.1488,4.1829,18.5679
25,25.34,10.0,0.957,charge,5.0,20.2,4.0901,4.1615,14.28
25,25.6,10.0,0.9565,discharge,-29.802,20.2,4.0858,3.6807,13.593
25,25.66,10.0,0.9592,charge,1.088,20.2,4.0919,4.1062,13.1458
25,25.86,10.0,0.9118,charge,4.998,20.2,4.0777,4.1423,12.9247
25,25.85,10.0,0.9113,discharge,-29.708,20.2,4.0735,3.6581,13.9828
25,25.97,10.0,0.914,charge,2.123,20.2,4.0784,4.1061,13.05
25,25.83,10.0,0.8665,charge,5.0,20.2,4.0482,4.1179,13.9408
