cell,zipname,file,kind,cycle,n,bad_frac,T_min,T_med,T_lowV_med,note
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-17-21_11.46_CC_protocol_TwoC_2C_dchg_IN21700_30T_cycle_#75.mat,other,75,1733,0.0,25.28,27.39,27.9,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-17-21_13.52_CC_protocol_HPPC_IN21700_30T_cycle_#76.mat,HPPC,76,35059,0.0,24.48,25.84,25.86,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-18-21_19.58_CC_protocol_tenpercent_chg_a_IN21700_30T_cycle_#77.mat,other,77,1062,0.0,24.72,25.5,25.5,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-18-21_20.57_CC_protocol__Fifteen_Drive_Cycles_set_IN21700_30T_cycle_#78_to_92.mat,drive,78,105647,0.0,24.8,26.26,26.26,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-20-21_03.23_CC_protocol_halfC_0.5C_dchg_(b)_IN21700_30T_cycle_#92.mat,halfC,92,7046,0.0,25.12,25.93,26.3,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-20-21_03.23_CC_protocol_halfC_CAP_(b)_forexcel_cycle_#92.mat,CAP,92,0,1.0,,,,read:KeyError
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-20-21_05.21_CC_protocol_tenpercent_chg_b_IN21700_30T_cycle_#93.mat,other,93,1058,0.0,25.51,26.3,26.3,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-20-21_06.21_CC_protocol__Fifteen_Drive_Cycles_set_IN21700_30T_cycle_#93_to_107.mat,drive,93,105809,0.0,24.64,26.23,26.27,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-22-21_11.51_CC_protocol_whole_Schedule_IN21700_30T_cycle_#108_week#4.mat,schedule,108,295534,0.0,24.34,25.95,25.92,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-22-21_12.19_CC_protocol_halfC_0.5C_dchg_(a1)_IN21700_30T_cycle_#108.mat,halfC,108,7012,0.0,24.6,25.46,25.52,
